Sample time,Sample number,Sample type,Boron Extractable [Lab: 1] [VMV: 100475],Status(0),Unit code(0),Value modifier code(0),Lead Dissolved [Lab: 1] [VMV: 97983],Status(1),Unit code(1),Value modifier code(1),Nitrogen Dissolved Nitrate [Lab: 1] [VMV: 7315],Status(2),Unit code(2),Value modifier code(2),Nitrogen Dissolved Nitrate [Lab: 36] [VMV: 7315],Status(3),Unit code(3),Value modifier code(3),Nitrogen Dissolved Nitrate [Lab: -54] [VMV: 1115],Status(4),Unit code(4),Value modifier code(4)
1994-04-26 17:00:00,94PY000816,1,,,,,,,,,0.14300000,P,MG/L,,,,,,,,,
1994-05-10 18:15:00,94PY000891,1,,,,,,,,,0.11000000,P,MG/L,,,,,,,,,
1994-05-24 17:30:00,94PY000973,1,,,,,,,,,0.08800000,P,MG/L,,,,,,,,,
1994-06-07 18:30:00,94PY001083,1,,,,,,,,,0.07200000,P,MG/L,,,,,,,,,
1994-06-21 16:55:00,94PY001192,1,,,,,,,,,0.07100000,P,MG/L,,,,,,,,,
1994-07-05 19:55:00,94PY001335,1,,,,,,,,,0.05400000,P,MG/L,,,,,,,,,
1994-07-19 17:55:00,94PY001429,1,,,,,,,,,0.04100000,P,MG/L,,,,,,,,,
1994-09-15 19:30:00,94PY001865,1,,,,,,,,,0.03600000,P,MG/L,,,,,,,,,
1994-09-27 21:15:00,94PY001925,1,,,,,,,,,0.00200000,P,MG/L,L,,,,,,,,
1994-10-11 21:35:00,94PY002064,1,,,,,,,,,,,,,0.05600000,P,MG/L,,,,,
1994-10-25 21:15:00,94PY002125,1,,,,,,,,,,,,,0.03000000,P,MG/L,,,,,
1994-11-08 22:30:00,95PY000064,1,,,,,,,,,,,,,0.06900000,P,MG/L,,,,,
1994-11-22 22:30:00,94PY002291,1,,,,,,,,,,,,,0.08500000,P,MG/L,,,,,
1994-12-06 21:55:00,94PY002327,1,,,,,,,,,,,,,0.10900000,P,MG/L,,,,,
1994-12-20 22:45:00,95PY000137,1,,,,,,,,,,,,,0.17000000,P,MG/L,,,,,
1995-01-03 22:10:00,95PY000150,1,,,,,,,,,,,,,0.13600000,P,MG/L,,,,,
1995-01-17 22:50:00,95PY000196,1,,,,,,,,,,,,,0.11700000,P,MG/L,,,,,
1995-01-31 22:56:00,95PY000260,1,,,,,,,,,,,,,0.13900000,P,MG/L,,,,,
1995-02-14 22:50:00,95PY000443,1,,,,,,,,,,,,,0.11200000,P,MG/L,,,,,
1995-02-28 22:50:00,95PY000491,1,,,,,,,,,,,,,0.11100000,P,MG/L,,,,,
1995-03-14 22:00:00,95PY000538,1,,,,,,,,,,,,,0.10200000,P,MG/L,,,,,
1995-03-28 20:00:00,95PY000643,1,,,,,,,,,,,,,0.15200000,P,MG/L,,,,,
1995-04-11 21:45:00,95PY000740,1,,,,,,,,,,,,,0.07300000,P,MG/L,,,,,
1995-04-25 22:20:00,95PY000801,1,,,,,,,,,,,,,0.15000000,P,MG/L,,,,,
1995-05-09 22:45:00,95PY000862,1,,,,,,,,,,,,,0.14200000,P,MG/L,,,,,
1995-05-20 21:25:00,95PY001119,1,,,,,,,,,,,,,0.06100000,P,MG/L,,,,,
1995-05-23 21:20:00,95PY000921,1,,,,,,,,,,,,,0.11900000,P,MG/L,,,,,
1995-06-06 21:20:00,95PY001045,1,,,,,,,,,,,,,0.07100000,P,MG/L,,,,,
1995-07-04 21:15:00,95PY001217,1,,,,,,,,,,,,,0.03900000,P,MG/L,,,,,
1995-07-18 21:30:00,95PY001315,1,,,,,,,,,,,,,0.03100000,P,MG/L,,,,,
1995-08-01 21:35:00,95PY001395,1,,,,,,,,,,,,,0.05400000,P,MG/L,,,,,
1995-08-15 21:45:00,95PY001502,1,,,,,,,,,,,,,0.03500000,P,MG/L,,,,,
1995-08-29 21:45:00,95PY001574,1,,,,,,,,,,,,,0.03700000,P,MG/L,,,,,
1995-09-12 21:30:00,95PY001691,1,,,,,,,,,,,,,0.02300000,P,MG/L,,,,,
1995-09-26 21:15:00,95PY001773,1,,,,,,,,,,,,,0.01900000,P,MG/L,,,,,
1995-10-24 21:40:00,95PY002001,1,,,,,,,,,,,,,0.08600000,P,MG/L,,,,,
1995-11-07 22:45:00,95PY002081,1,,,,,,,,,,,,,0.08300000,P,MG/L,,,,,
1995-11-21 22:00:00,95PY002150,1,,,,,,,,,,,,,0.09100000,P,MG/L,,,,,
1995-12-05 22:45:00,95PY002243,1,,,,,,,,,,,,,0.10800000,P,MG/L,,,,,
1995-12-19 22:00:00,95PY002292,1,,,,,,,,,,,,,0.12500000,P,MG/L,,,,,
1996-01-02 22:30:00,96PY000047,1,,,,,,,,,,,,,0.11300000,P,MG/L,,,,,
1996-01-16 22:15:00,96PY000120,1,,,,,,,,,,,,,0.10100000,P,MG/L,,,,,
1996-01-30 22:45:00,96PY000197,1,,,,,,,,,,,,,0.13500000,P,MG/L,,,,,
1996-02-13 22:00:00,96PY000316,1,,,,,,,,,,,,,0.11500000,P,MG/L,,,,,
1996-02-27 22:40:00,96PY000418,1,,,,,,,,,,,,,0.11800000,P,MG/L,,,,,
1996-03-12 22:25:00,96PY000521,1,,,,,,,,,,,,,0.10700000,P,MG/L,,,,,
1996-03-26 22:40:00,96PY000643,1,,,,,,,,,,,,,0.13300000,P,MG/L,,,,,
1996-04-09 21:00:00,96PY000785,1,,,,,,,,,,,,,0.08600000,P,MG/L,,,,,
1996-04-23 21:00:00,96PY001052,1,,,,,,,,,,,,,0.13400000,P,MG/L,,,,,
1996-05-07 21:40:00,96PY001324,1,,,,,,,,,,,,,0.09400000,P,MG/L,,,,,
1996-05-21 21:10:00,96PY001561,1,,,,,,,,,,,,,0.08900000,P,MG/L,,,,,
1996-06-04 21:15:00,96PY001858,1,,,,,,,,,,,,,0.10700000,P,MG/L,,,,,
1996-06-18 21:20:00,96PY002179,1,,,,,,,,,,,,,0.08700000,P,MG/L,,,,,
1996-07-02 22:10:00,96PY002531,1,,,,,,,,,,,,,0.03900000,P,MG/L,,,,,
1996-07-16 21:00:00,96PY002972,1,,,,,,,,,,,,,0.05400000,P,MG/L,,,,,
1996-07-30 22:23:00,96PY003399,1,,,,,,,,,,,,,0.04600000,P,MG/L,,,,,
1996-08-13 22:01:00,96PY003868,1,,,,,,,,,,,,,0.03900000,P,MG/L,,,,,
1996-08-27 22:21:00,96PY004308,1,,,,,,,,,,,,,0.01500000,P,MG/L,,,,,
1996-09-10 21:15:00,96PY004650,1,,,,,,,,,,,,,0.02000000,P,MG/L,,,,,
1996-09-23 21:15:00,96PY005102,1,,,,,,,,,,,,,0.03700000,P,MG/L,,,,,
1996-10-08 22:35:00,96PY005514,1,,,,,,,,,,,,,0.03500000,P,MG/L,,,,,
1996-10-22 21:15:00,96PY005928,1,,,,,,,,,,,,,0.04600000,P,MG/L,,,,,
1996-11-05 22:10:00,96PY006306,1,,,,,,,,,,,,,0.06200000,P,MG/L,,,,,
1996-11-19 22:15:00,96PY006559,1,,,,,,,,,,,,,0.07900000,P,MG/L,,,,,
1996-12-03 22:10:00,96PY006848,1,,,,,,,,,,,,,0.11700000,P,MG/L,,,,,
1996-12-17 22:15:00,96PY007062,1,,,,,,,,,,,,,0.10100000,P,MG/L,,,,,
1996-12-31 22:15:00,97PY000024,1,,,,,,,,,,,,,0.11900000,P,MG/L,,,,,
1997-01-14 22:20:00,97PY000161,1,,,,,,,,,,,,,0.11000000,P,MG/L,,,,,
1997-01-28 22:12:00,97PY000374,1,,,,,,,,,,,,,0.09900000,P,MG/L,,,,,
1997-02-11 22:10:00,97PY000604,1,,,,,,,,,,,,,0.10600000,P,MG/L,,,,,
1997-02-25 22:10:00,97PY000900,1,,,,,,,,,,,,,0.11900000,P,MG/L,,,,,
1997-03-11 22:15:00,97PY001208,1,,,,,,,,,,,,,0.10500000,P,MG/L,,,,,
1997-03-25 22:10:00,97PY001478,1,,,,,,,,,,,,,0.11400000,P,MG/L,,,,,
1997-04-08 22:15:00,97PY001668,1,,,,,,,,,,,,,0.09500000,P,MG/L,,,,,
1997-04-22 22:10:00,97PY001877,1,,,,,,,,,,,,,0.14000000,P,MG/L,,,,,
1997-05-06 22:15:00,97PY002227,1,,,,,,,,,,,,,0.11300000,P,MG/L,,,,,
1997-05-20 21:00:00,97PY002474,1,,,,,,,,,,,,,0.10100000,P,MG/L,,,,,
1997-06-03 23:05:00,97PY002878,1,,,,,,,,,,,,,0.07200000,P,MG/L,,,,,
1997-06-17 22:00:00,97PY003234,1,,,,,,,,,,,,,0.05900000,P,MG/L,,,,,
1997-07-02 21:00:00,97PY003548,1,,,,,,,,,,,,,0.05400000,P,MG/L,,,,,
1997-07-15 22:15:00,97PY003958,1,,,,,,,,,,,,,0.04500000,P,MG/L,,,,,
1997-07-29 22:00:00,97PY004349,1,,,,,,,,,,,,,0.03900000,P,MG/L,,,,,
1997-08-12 22:00:00,97PY004873,1,,,,,,,,,,,,,0.03700000,P,MG/L,,,,,
1997-08-26 22:20:00,97PY005243,1,,,,,,,,,,,,,0.03100000,P,MG/L,,,,,
1997-09-09 22:20:00,97PY005646,1,,,,,,,,,,,,,0.03100000,P,MG/L,,,,,
1997-09-23 22:10:00,97PY006078,1,,,,,,,,,,,,,0.03100000,P,MG/L,,,,,
1997-10-07 22:00:00,97PY006567,1,,,,,,,,,,,,,0.05800000,P,MG/L,,,,,
1997-10-21 22:10:00,97PY006953,1,,,,,,,,,,,,,0.08800000,P,MG/L,,,,,
1997-11-04 22:15:00,97PY007480,1,,,,,,,,,,,,,0.07800000,P,MG/L,,,,,
1997-11-18 22:10:00,97PY007792,1,,,,,,,,,,,,,0.09400000,P,MG/L,,,,,
1997-12-02 22:15:00,97PY008127,1,,,,,,,,,,,,,0.08800000,P,MG/L,,,,,
1997-12-16 22:15:00,97PY008383,1,,,,,,,,,,,,,0.08800000,P,MG/L,,,,,
1997-12-30 22:15:00,97PY008515,1,,,,,,,,,,,,,0.13000000,P,MG/L,,,,,
1998-01-13 21:15:00,98PY000173,1,,,,,,,,,,,,,0.11800000,P,MG/L,,,,,
1998-01-27 22:20:00,98PY000438,1,,,,,,,,,,,,,0.09900000,P,MG/L,,,,,
1998-02-10 10:15:00,98PY000659,1,,,,,,,,,,,,,0.09400000,P,MG/L,,,,,
1998-02-24 21:10:00,98PY000988,1,,,,,,,,,,,,,0.08000000,P,MG/L,,,,,
1998-03-12 21:15:00,98PY001454,1,,,,,,,,,,,,,0.06200000,P,MG/L,,,,,
1998-03-24 22:10:00,98PY001600,1,,,,,,,,,,,,,0.10500000,P,MG/L,,,,,
1998-04-07 22:10:00,98PY001851,1,,,,,,,,,,,,,0.09300000,P,MG/L,,,,,
1998-04-21 22:10:00,98PY002053,1,,,,,,,,,,,,,0.06600000,P,MG/L,,,,,
1998-05-05 22:10:00,98PY002388,1,,,,,,,,,,,,,0.16600000,P,MG/L,,,,,
1998-05-19 22:10:00,98PY002690,1,,,,,,,,,,,,,0.11200000,P,MG/L,,,,,
1998-06-02 21:30:00,98PY003086,1,,,,,,,,,,,,,0.07500000,P,MG/L,,,,,
1998-06-16 21:10:00,98PY003489,1,,,,,,,,,,,,,0.05600000,P,MG/L,,,,,
1998-06-30 21:10:00,98PY003890,1,,,,,,,,,,,,,0.04000000,P,MG/L,,,,,
1998-07-21 21:10:00,98PY004393,1,,,,,,,,,,,,,0.04000000,P,MG/L,,,,,
1998-08-04 21:10:00,98PY004725,1,,,,,,,,,,,,,0.03300000,P,MG/L,,,,,
1998-08-18 21:10:00,98PY005101,1,,,,,,,,,,,,,0.03000000,P,MG/L,,,,,
1998-09-01 21:10:00,98PY005460,1,,,,,,,,,,,,,0.03800000,P,MG/L,,,,,
1998-09-15 21:00:00,98PY005810,1,,,,,,,,,,,,,0.10500000,P,MG/L,,,,,
1998-09-29 21:10:00,98PY006152,1,,,,,,,,,,,,,0.03300000,P,MG/L,,,,,
1998-10-13 21:10:00,98PY006423,1,,,,,,,,,,,,,0.09400000,P,MG/L,,,,,
1998-10-27 21:10:00,98PY006781,1,,,,,,,,,,,,,0.05600000,P,MG/L,,,,,
1998-11-04 17:10:00,98PY006996,1,,,,,,,,,,,,,0.05500000,P,MG/L,,,,,
1998-11-10 21:10:00,98PY007136,1,,,,,,,,,,,,,0.05900000,P,MG/L,,,,,
1998-11-24 21:10:00,98PY007431,1,,,,,,,,,,,,,0.08500000,P,MG/L,,,,,
1998-12-08 22:10:00,98PY007701,1,,,,,,,,,,,,,0.08900000,P,MG/L,,,,,
2002-07-30 22:00:00,03PY000339,1,3.40000000,P,UG/L,,,,,,,,,,,,,,,,,
2006-09-26 21:45:00,06PY001249,1,,,,,,,,,,,,,,,,,0.02200000,P,MG/L,
2007-09-20 02:00:00,09PY000963,1,,,,,,,,,,,,,,,,,0.02800000,P,MG/L,
2007-10-10 22:00:00,07PY001243,1,,,,,,,,,,,,,,,,,0.04700000,P,MG/L,
2009-04-21 14:42:00,09PY000465,1,,,,,,,,,,,,,,,,,0.08300000,P,MG/L,
2009-05-05 14:47:00,09PY000487,1,,,,,,,,,,,,,,,,,0.07100000,P,MG/L,
2009-05-12 15:50:00,09PY000543,1,,,,,,,,,,,,,,,,,0.08200000,P,MG/L,
2009-05-20 15:43:00,09PY000563,1,,,,,0.37400000,P,UG/L,,,,,,,,,,0.07300000,P,MG/L,
2009-05-27 15:42:00,09PY000580,1,,,,,,,,,,,,,,,,,0.09300000,P,MG/L,
2009-06-03 14:35:00,09PY000617,1,,,,,,,,,,,,,,,,,0.10000000,P,MG/L,
2009-06-24 08:00:00,09PY000665,1,,,,,,,,,,,,,,,,,0.06000000,P,MG/L,
2009-07-08 15:45:00,09PY000787,1,,,,,,,,,,,,,,,,,0.05100000,P,MG/L,
2009-07-15 15:48:00,09PY000813,1,,,,,,,,,,,,,,,,,0.04700000,P,MG/L,
